unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
370,"[0, 1]",38,"[3191, 2972]","[452, 1149, 1768, 2270, 2404, 2438, 2486, 2544, 2641, 2670, 2693, 2734, 2833, 2869, 2924, 2989, 3004, 3008, 3140, 3142, 3230, 3279, 3290, 3291, 3325, 3434, 3659, 3717, 3738, 3750, 3767, 3794, 3949, 4140, 4205, 4213, 4415, 4429, 4503, 4505, 4507, 4533]"
371,"[0, 1]",25,"[3223, 3085]","[121, 167, 241, 356, 370, 418, 455, 489, 497, 549, 573, 619, 624, 696, 700, 743, 786, 809, 937, 1051, 1287, 1329, 1561, 1631, 1800, 1824, 1851, 1861, 1920, 1930, 1937, 1984, 2014, 2037, 2095, 2141, 2172, 2181, 2233, 2339, 2400, 2460, 2608, 2660, 2695, 2708, 2718, 2772, 2838, 2867, 2993, 2995, 3065, 3138, 3143, 3151, 3273, 3372, 3410, 3467, 3543, 3594, 3600, 3608, 3610, 3740, 3778, 3795, 3818, 3856, 3866, 3880, 3913, 4021, 4228, 4241, 4244, 4296, 4332, 4419, 4450, 4468, 4548]"
372,"[0, 1]",48,"[3224, 3116]","[787, 906, 1027, 1272, 1359, 1752, 1772, 2328, 2563, 2857, 3114, 3920, 3982, 4249, 4305, 4366, 4549]"
392,"[0, 1]",18,"[3386, 3354]","[192, 352, 413, 422, 449, 654, 737, 958, 1086, 1131, 1380, 1384, 1527, 1697, 1746, 1756, 1858, 2082, 2249, 2388, 2427, 2456, 2504, 2586, 2614, 2634, 2671, 2777, 2791, 2982, 2997, 3129, 3278, 3333, 3503, 3596, 3654, 3658, 3756, 4094, 4243, 4349, 4556]"
394,"[0, 1]",4,"[3451, 3358]","[2076, 2180, 2279, 2362, 2389, 2407, 2424, 2497, 2560, 2562, 2610, 2620, 2761, 2835, 2877, 3096, 3193, 3312, 3316, 3424, 3559, 3652, 3655, 3672, 3704, 3729, 3744, 3808, 3816, 3907, 3908, 3965, 4063, 4098, 4100, 4120, 4226, 4341, 4462, 4469, 4473]"
395,"[0, 1]",28,"[3463, 3462]","[54, 438, 733, 951, 1520, 1822, 2587, 4040, 4086]"
415,"[0, 1]",44,"[3604, 3602]","[1648, 1793, 1818, 1833, 1845, 1866, 1877, 1923, 1990, 2054, 2123, 2165, 2315, 2426, 2567, 2674, 2687, 2701, 2754, 2863, 3019, 3033, 3109, 3110, 3117, 3471, 3493, 3627, 3679, 3703, 3980, 4053, 4070, 4101, 4176, 4282, 4291, 4393, 4491, 4508, 4528, 4529]"
416,"[0, 1]",10,"[3619, 3605]","[19, 26, 97, 118, 162, 282, 378, 415, 461, 473, 567, 576, 592, 693, 772, 801, 805, 871, 874, 879, 990, 1100, 1117, 1142, 1182, 1201, 1243, 1274, 1280, 1356, 1450, 1569, 1585, 1607, 1642, 1668, 1738, 1826, 1849, 1855, 2025, 2090, 2223, 2238, 2248, 2273, 2293, 2539, 2713, 2722, 2788, 2829, 2923, 2963, 2973, 2977, 3056, 3069, 3169, 3245, 3286, 3348, 3380, 3389, 3421, 3461, 3511, 3656, 3741, 3746, 3780, 3897, 3937, 3939, 3963, 3996, 4139, 4178, 4208, 4258, 4281, 4410, 4526, 4538]"
417,"[0, 1]",16,"[3705, 3700]","[33, 55, 143, 193, 215, 219, 222, 242, 263, 318, 467, 583, 612, 616, 647, 671, 691, 712, 752, 763, 900, 1122, 1261, 1368, 1381, 1409, 1445, 1466, 1564, 1568, 1612, 1689, 1693, 1701, 1717, 1751, 1813, 1915, 1944, 1949, 1959, 1966, 1969, 2026, 2051, 2154, 2186, 2189, 2199, 2200, 2240, 2284, 2295, 2300, 2313, 2394, 2437, 2464, 2531, 2730, 2785, 2859, 2899, 3067, 3075, 3106, 3124, 3127, 3361, 3454, 3516, 3620, 3857, 3883, 3885, 3906, 4192, 4209, 4247, 4337, 4338, 4344, 4401, 4428, 4449, 4566]"
418,"[0, 1]",28,"[3714, 3726]",[959]
438,"[0, 1]",45,"[3978, 3926]","[268, 358, 528, 547, 594, 659, 677, 778, 808, 812, 860, 989, 1007, 1064, 1111, 1144, 1164, 1167, 1257, 1269, 1296, 1451, 1483, 1562, 1626, 1643, 1654, 1702, 1736, 1739, 1853, 1889, 1890, 1941, 1967, 1989, 2053, 2056, 2061, 2191, 2282, 2336, 2451, 2466, 2511, 2515, 2658, 2691, 2757, 2767, 2802, 2894, 2912, 2915, 2946, 2980, 3009, 3026, 3048, 3055, 3078, 3094, 3119, 3195, 3208, 3213, 3302, 3365, 3484, 3531, 3800, 3927, 4007, 4014, 4019, 4039, 4080, 4179, 4189, 4255, 4261, 4270, 4284, 4311]"
439,"[0, 1]",47,"[4062, 3975]","[69, 283, 300, 430, 492, 590, 694, 795, 1010, 1478, 1508, 1534, 1558, 1656, 1834, 1878, 2421, 2552, 2576, 2581, 2719, 2736, 2783, 2998, 3123, 3186, 3404, 3442, 3485, 3486, 3568, 3708, 3917, 3948, 4079, 4090, 4145, 4169, 4285, 4365, 4411]"
440,"[0, 1]",1,"[4095, 3982]","[1463, 2487, 2505, 2517, 2680, 2797, 2801, 2928, 2948, 2967, 2971, 3030, 3045, 3047, 3100, 3111, 3116, 3133, 3165, 3167, 3175, 3189, 3210, 3237, 3247, 3298, 3313, 3320, 3343, 3393, 3478, 3495, 3670, 3762, 3964, 3969, 4138, 4234, 4286, 4363, 4382, 4454, 4557]"
461,"[0, 1]",32,"[4153, 4086]","[51, 150, 155, 314, 324, 419, 423, 441, 462, 472, 480, 501, 615, 633, 739, 799, 842, 867, 921, 939, 1032, 1048, 1049, 1067, 1076, 1169, 1236, 1260, 1369, 1462, 1546, 1669, 1682, 1692, 1774, 1830, 1958, 2043, 2146, 2220, 2301, 2346, 2377, 2446, 2549, 2553, 2579, 2876, 2886, 2888, 2941, 2958, 3034, 3121, 3134, 3150, 3183, 3184, 3265, 3315, 3338, 3392, 3428, 3429, 3524, 3588, 3643, 3715, 3722, 3788, 3863, 3872, 3875, 3910, 4006, 4147, 4156, 4159, 4168, 4268, 4317, 4345, 4355, 4426]"
462,"[0, 1]",50,"[4180, 4092]","[79, 171, 197, 217, 233, 235, 481, 609, 636, 857, 930, 947, 964, 1070, 1082, 1195, 1417, 1807, 1968, 2290, 2312, 2692, 2766, 2882, 2942, 2986, 3126, 3504, 3514, 3558, 3630, 3713, 3736, 3776, 3812, 3850, 4111, 4133, 4322, 4368, 4400]"
463,"[0, 1]",48,"[4188, 4096]","[24, 80, 95, 113, 292, 368, 463, 707, 794, 1252, 1532, 2012, 2127, 2632, 2819, 2907, 3605, 3697]"
